证券代码,证券简称,公司全称,上市日期
600184,光电股份,北方光电股份有限公司,2003-11-06
600185,格力地产,格力地产股份有限公司,1999-06-11
600186,莲花健康,莲花健康产业集团股份有限公司,1998-08-25
600187,国中水务,黑龙江国中水务股份有限公司,1998-11-11
600188,兖矿能源,兖矿能源集团股份有限公司,1998-07-01
600189,泉阳泉,吉林泉阳泉股份有限公司,1998-10-07
600190,锦州港,锦州港股份有限公司,1999-06-09
600191,华资实业,包头华资实业股份有限公司,1998-12-10
600192,长城电工,兰州长城电工股份有限公司,1998-12-24
600193,创兴资源,上海创兴资源开发股份有限公司,1999-05-27
600195,中牧股份,中牧实业股份有限公司,1999-01-07
600196,复星医药,上海复星医药(集团)股份有限公司,1998-08-07
600197,伊力特,新疆伊力特实业股份有限公司,1999-09-16
600198,大唐电信,大唐电信科技股份有限公司,1998-10-21
600199,金种子酒,安徽金种子酒业股份有限公司,1998-08-12
600200,江苏吴中,江苏吴中医药发展股份有限公司,1999-04-01
600201,生物股份,金宇生物技术股份有限公司,1999-01-15
600202,哈空调,哈尔滨空调股份有限公司,1999-06-03
600203,福日电子,福建福日电子股份有限公司,1999-05-14
600206,有研新材,有研新材料股份有限公司,1999-03-19
600207,安彩高科,河南安彩高科股份有限公司,1999-07-14
600208,新湖中宝,新湖中宝股份有限公司,1999-06-23
600210,紫江企业,上海紫江企业集团股份有限公司,1999-08-24
600211,西藏药业,西藏诺迪康药业股份有限公司,1999-07-21
600212,绿能慧充,绿能慧充数字能源技术股份有限公司,1999-08-17
600213,亚星客车,扬州亚星客车股份有限公司,1999-08-31
600215,派斯林,派斯林数字科技股份有限公司,1999-09-09
600216,浙江医药,浙江医药股份有限公司,1999-10-21
600217,中再资环,中再资源环境股份有限公司,1999-12-16
600218,全柴动力,安徽全柴动力股份有限公司,1998-12-03
600219,南山铝业,山东南山铝业股份有限公司,1999-12-23
600220,江苏阳光,江苏阳光股份有限公司,1999-09-27
600221,海航控股,海南航空控股股份有限公司,1999-11-25
600222,太龙药业,河南太龙药业股份有限公司,1999-11-05
600223,福瑞达,鲁商福瑞达医药股份有限公司,2000-01-13
600225,卓朗科技,天津卓朗信息科技股份有限公司,2000-01-27
600226,瀚叶股份,浙江瀚叶股份有限公司,1999-11-16
600227,赤天化,贵州赤天化股份有限公司,2000-02-21
600228,返利科技,返利网数字科技股份有限公司,1999-01-19
600229,城市传媒,青岛城市传媒股份有限公司,2000-03-09
600230,沧州大化,沧州大化股份有限公司,2000-04-06
600231,凌钢股份,凌源钢铁股份有限公司,2000-05-11
600232,金鹰股份,浙江金鹰股份有限公司,2000-06-02
600233,圆通速递,圆通速递股份有限公司,2000-06-08
600234,科新发展,山西科新发展股份有限公司,2000-06-15
600235,民丰特纸,民丰特种纸股份有限公司,2000-06-15
600236,桂冠电力,广西桂冠电力股份有限公司,2000-03-23
600237,铜峰电子,安徽铜峰电子股份有限公司,2000-06-09
600238,海南椰岛,海南椰岛(集团)股份有限公司,2000-01-20
600239,云南城投,云南城投置业股份有限公司,1999-12-02
600241,时代万恒,辽宁时代万恒股份有限公司,2000-11-28
600242,退市中昌,中昌大数据股份有限公司,2000-12-07
600243,青海华鼎,青海华鼎实业股份有限公司,2000-11-20
600246,万通发展,北京万通新发展集团股份有限公司,2000-09-22
600248,陕建股份,陕西建工集团股份有限公司,2000-06-22
600249,两面针,柳州两面针股份有限公司,2004-01-30
600250,南纺股份,南京纺织品进出口股份有限公司,2001-03-06
600251,冠农股份,新疆冠农股份有限公司,2003-06-09
600252,中恒集团,广西梧州中恒集团股份有限公司,2000-11-30
600255,鑫科材料,安徽鑫科新材料股份有限公司,2000-11-22
600256,广汇能源,广汇能源股份有限公司,2000-05-26
600257,大湖股份,大湖水殖股份有限公司,2000-06-12
600258,首旅酒店,北京首旅酒店(集团)股份有限公司,2000-06-01
600259,广晟有色,广晟有色金属股份有限公司,2000-05-25
600261,阳光照明,浙江阳光照明电器集团股份有限公司,2000-07-20
